experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,variant
generalization_tanh_rnn,0,double_integrator,tanh_rnn,1000,0.09367609227977111,0.3083519608905681,141.9070227098465,141.9070227098465,0.5066639317967822,False,False,0,56,56,56.0,0.0,0.717580328934625,True,True,False,True,cuda,cuda,141.82161355018616,tanh_rnn
generalization_tanh_rnn,1,double_integrator,tanh_rnn,1000,0.09384502063354055,0.35894104145663236,476814.58604296687,476814.58604296687,0.5398049084242095,False,False,0,82,82,82.0,0.0,0.7070100554464966,True,True,False,True,cuda,cuda,141.45847153663635,tanh_rnn
generalization_tanh_rnn,2,double_integrator,tanh_rnn,1000,0.09332602727362069,0.322125861103272,171145.6100800228,171145.6100800228,0.523012070182954,False,False,0,74,74,74.0,0.0,0.705029588573927,True,True,False,True,cuda,cuda,140.2410638332367,tanh_rnn
generalization_tanh_rnn,3,double_integrator,tanh_rnn,1000,0.09350362253735088,0.273738805925548,41.16185930013657,41.16185930013657,0.49387472649079717,False,False,0,49,49,49.0,0.0,0.7098881603287353,True,True,False,True,cuda,cuda,134.4108076095581,tanh_rnn
generalization_tanh_rnn,4,double_integrator,tanh_rnn,1000,0.09292552401848551,0.3142171082366258,126.08653475046158,126.08653475046158,0.47241942370414364,False,False,0,47,47,47.0,0.0,0.7071134444342569,True,True,False,True,cuda,cuda,135.69251656532288,tanh_rnn
generalization_tanh_rnn,5,double_integrator,tanh_rnn,1000,0.09253204691246658,0.3209859567880631,165.89774455308915,165.89774455308915,0.5044755393840036,False,False,0,53,53,53.0,0.0,0.7030202502004351,True,True,False,True,cuda,cuda,136.37509155273438,tanh_rnn
generalization_tanh_rnn,6,double_integrator,tanh_rnn,1000,0.09324374893083379,0.28287760053586963,33.592188193798066,33.592188193798066,0.4985517844208729,False,False,0,51,51,51.0,0.0,0.7074924938498134,True,True,False,True,cuda,cuda,136.27411222457886,tanh_rnn
generalization_tanh_rnn,7,double_integrator,tanh_rnn,1000,0.09374780828457693,0.32202887872809216,434.19455688476563,434.19455688476563,0.5248405908882492,False,False,0,58,58,58.0,0.0,0.709914879324481,True,True,False,True,cuda,cuda,134.54464626312256,tanh_rnn
generalization_tanh_rnn,8,double_integrator,tanh_rnn,1000,0.09321929625717357,0.30446482774685135,26.457200717926025,26.457200717926025,0.48470404970136965,False,False,0,47,47,47.0,0.0,0.7135583890373524,True,True,False,True,cuda,cuda,134.8240613937378,tanh_rnn
generalization_tanh_rnn,9,double_integrator,tanh_rnn,1000,0.09287544874006057,0.3071447572251782,12.149343402385712,12.149343402385712,0.4899545877158827,False,False,0,47,47,47.0,0.0,0.7064771850154367,True,True,False,True,cuda,cuda,134.2984743118286,tanh_rnn
generalization_gru,0,double_integrator,gru,1000,0.06766571659590227,1.348856529055629,105942.66316554784,382.3383363127708,0.5662191747087956,True,True,629,71,700,,,,True,True,True,False,cuda,cuda,117.29185509681702,gru
generalization_gru,1,double_integrator,gru,1000,0.06776355234737821,3.362325031752698,24506.77702306509,1410.5962824583053,0.7619753242093992,True,True,626,74,700,,,,True,True,True,False,cuda,cuda,117.35970187187195,gru
