experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,perturbation
robustness_original,0,double_integrator,tanh_rnn,1000,0.09367609227977111,0.3083519608905681,141.9070227098465,141.9070227098465,0.5066639317967822,False,False,0,56,56,56.0,0.0,0.717580328934625,True,True,False,True,cuda,cuda,141.1631944179535,original
robustness_original,1,double_integrator,tanh_rnn,1000,0.09384502063354055,0.35894104145663236,476814.58604296687,476814.58604296687,0.5398049084242095,False,False,0,82,82,82.0,0.0,0.7070100554464966,True,True,False,True,cuda,cuda,142.139142036438,original
robustness_original,2,double_integrator,tanh_rnn,1000,0.09332602727362069,0.322125861103272,171145.6100800228,171145.6100800228,0.523012070182954,False,False,0,74,74,74.0,0.0,0.705029588573927,True,True,False,True,cuda,cuda,142.38747930526733,original
robustness_original,3,double_integrator,tanh_rnn,1000,0.09350362253735088,0.273738805925548,41.16185930013657,41.16185930013657,0.49387472649079717,False,False,0,49,49,49.0,0.0,0.7098881603287353,True,True,False,True,cuda,cuda,142.39923238754272,original
robustness_original,4,double_integrator,tanh_rnn,1000,0.09292552401848551,0.3142171082366258,126.08653475046158,126.08653475046158,0.47241942370414364,False,False,0,47,47,47.0,0.0,0.7071134444342569,True,True,False,True,cuda,cuda,142.17371582984924,original
robustness_original,5,double_integrator,tanh_rnn,1000,0.09253204691246658,0.3209859567880631,165.89774455308915,165.89774455308915,0.5044755393840036,False,False,0,53,53,53.0,0.0,0.7030202502004351,True,True,False,True,cuda,cuda,141.62770795822144,original
robustness_original,6,double_integrator,tanh_rnn,1000,0.09324374893083379,0.28287760053586963,33.592188193798066,33.592188193798066,0.4985517844208729,False,False,0,51,51,51.0,0.0,0.7074924938498134,True,True,False,True,cuda,cuda,141.0579173564911,original
robustness_original,7,double_integrator,tanh_rnn,1000,0.09374780828457693,0.32202887872809216,434.19455688476563,434.19455688476563,0.5248405908882492,False,False,0,58,58,58.0,0.0,0.709914879324481,True,True,False,True,cuda,cuda,140.01808333396912,original
robustness_original,8,double_integrator,tanh_rnn,1000,0.09321929625717357,0.30446482774685135,26.457200717926025,26.457200717926025,0.48470404970136965,False,False,0,47,47,47.0,0.0,0.7135583890373524,True,True,False,True,cuda,cuda,137.77763628959656,original
robustness_original,9,double_integrator,tanh_rnn,1000,0.09287544874006057,0.3071447572251782,12.149343402385712,12.149343402385712,0.4899545877158827,False,False,0,47,47,47.0,0.0,0.7064771850154367,True,True,False,True,cuda,cuda,136.5573227405548,original
robustness_original,10,double_integrator,tanh_rnn,1000,0.09291549279138987,0.3043659356498392,357.2121771097183,357.2121771097183,0.49359283954702665,False,False,0,54,54,54.0,0.0,0.7052314676932339,True,True,False,True,cuda,cuda,136.6622977256775,original
robustness_original,11,double_integrator,tanh_rnn,1000,0.09308784774273433,0.3091946052199637,19.777274849414827,26.717946836948396,0.5046646331677329,False,False,0,58,58,58.0,0.0,0.7061386624222196,True,True,False,True,cuda,cuda,137.13324093818665,original
robustness_original,12,double_integrator,tanh_rnn,1000,0.09376305814122167,0.3330382737934997,177022.9209902668,177022.9209902668,0.5073469863435709,False,False,0,59,59,59.0,0.0,0.7100797057703827,True,True,False,True,cuda,cuda,137.165137052536,original
robustness_original,13,double_integrator,tanh_rnn,1000,0.093166170986571,0.3263582716789097,9545.464770712853,9545.464770712853,0.5002537319265628,False,False,0,59,59,59.0,0.0,0.7060294920161335,True,True,False,True,cuda,cuda,135.4669165611267,original
robustness_original,14,double_integrator,tanh_rnn,1000,0.09350214609270964,0.283556621878717,25.892375702857972,25.892375702857972,0.5033318332625454,False,False,0,49,49,49.0,0.0,0.7119880405402508,True,True,False,True,cuda,cuda,136.11809992790222,original
robustness_lr_low,0,double_integrator,tanh_rnn,1000,0.12003464112414282,7.851088771820068,141.9070227098465,141.9070227098465,0.5180397835369799,False,False,0,133,133,133.0,0.0,0.7787978757701166,True,True,False,True,cuda,cuda,136.4555242061615,lr_low
robustness_lr_low,1,double_integrator,tanh_rnn,1000,0.12304355026309308,12.118512556552886,476814.58604296687,476814.58604296687,0.5553595939670803,False,False,0,206,206,206.0,0.0,0.7883181849984162,True,True,False,True,cuda,cuda,135.96989274024963,lr_low
robustness_lr_low,2,double_integrator,tanh_rnn,1000,0.12107241827361447,11.526726517677307,171145.6100800228,171145.6100800228,0.5442309088411474,False,True,10,35,45,81.0,-36.0,0.7822443224333415,True,True,True,True,cuda,cuda,135.79838490486145,lr_low
robustness_lr_low,3,double_integrator,tanh_rnn,1000,0.11944268786824813,7.175218068361282,41.16185930013657,41.16185930013657,0.48776061032577017,False,False,0,107,107,107.0,0.0,0.775829975782943,True,True,False,True,cuda,cuda,136.22880053520203,lr_low
robustness_lr_low,4,double_integrator,tanh_rnn,1000,0.11758117094531277,1.5981426620483399,126.08653475046158,126.08653475046158,0.4386835287249591,False,False,0,104,104,104.0,0.0,0.7618311296530451,True,True,False,True,cuda,cuda,136.91070890426636,lr_low
robustness_lr_low,5,double_integrator,tanh_rnn,1000,0.11792238935182081,6.43295432806015,165.89774455308915,165.89774455308915,0.5221037949907441,False,False,0,126,126,126.0,0.0,0.777592839489661,True,True,False,True,cuda,cuda,137.38102102279663,lr_low
robustness_lr_low,6,double_integrator,tanh_rnn,1000,0.11910356182882274,7.022351058721543,33.61775626182556,33.592188193798066,0.5005422673938829,False,False,0,111,111,111.0,0.0,0.7753608626124291,True,True,False,True,cuda,cuda,136.31604480743408,lr_low
robustness_lr_low,7,double_integrator,tanh_rnn,1000,0.12124179202552302,11.665318915843963,434.19455688476563,434.19455688476563,0.5300248744630119,False,False,0,137,137,137.0,0.0,0.7830468640710867,True,True,False,True,cuda,cuda,138.4790234565735,lr_low
robustness_lr_low,8,double_integrator,tanh_rnn,1000,0.11789846366519967,2.9861698853969574,26.457200717926025,26.457200717926025,0.4773126713738566,False,False,0,103,103,103.0,0.0,0.7669977418941807,True,True,False,True,cuda,cuda,137.6342477798462,lr_low
robustness_lr_low,9,double_integrator,tanh_rnn,1000,0.11754006180528602,3.1353405117988586,12.474897949695587,12.149343402385712,0.488000738038615,False,False,0,102,102,102.0,0.0,0.7681233228062924,True,True,False,True,cuda,cuda,137.7799482345581,lr_low
robustness_lr_low,10,double_integrator,tanh_rnn,1000,0.11811711689473775,4.08647269487381,357.2121771097183,357.2121771097183,0.5031381246632847,False,False,0,118,118,118.0,0.0,0.7749693172853376,True,True,False,True,cuda,cuda,138.06203746795654,lr_low
robustness_lr_low,11,double_integrator,tanh_rnn,1000,0.11931108348824448,8.080464117527008,21.001313376426697,19.73717726945877,0.5200659974946905,False,False,0,131,131,131.0,0.0,0.7758219270351361,True,True,False,True,cuda,cuda,137.69987845420837,lr_low
robustness_lr_low,12,double_integrator,tanh_rnn,1000,0.12077447871098063,4.774034967422486,177022.9209902668,177022.9209902668,0.509715950807333,False,False,0,142,142,142.0,0.0,0.7758252555674514,True,True,False,True,cuda,cuda,138.51844906806946,lr_low
robustness_lr_low,13,double_integrator,tanh_rnn,1000,0.11941528202643996,5.515207226276398,9545.464770712853,9545.464770712853,0.5104724999218836,False,False,0,137,137,137.0,0.0,0.7770420310908349,True,True,False,True,cuda,cuda,137.5374801158905,lr_low
robustness_lr_low,14,double_integrator,tanh_rnn,1000,0.12042214246005059,9.020655546188355,26.60038125514984,25.892375702857972,0.5035515934938969,False,False,0,110,110,110.0,0.0,0.7900675263230621,True,True,False,True,cuda,cuda,137.74074053764343,lr_low
robustness_lr_high,0,double_integrator,tanh_rnn,1000,0.08332216198954426,0.20598895902279765,141.9070227098465,141.9070227098465,0.4367216500194169,False,False,0,48,48,48.0,0.0,0.6363210050747162,True,True,False,True,cuda,cuda,135.25727128982544,lr_high
robustness_lr_high,1,double_integrator,tanh_rnn,1000,0.08318567057766947,0.2648486328497529,476814.58604296687,476814.58604296687,0.4740611543678848,False,False,0,46,46,46.0,0.0,0.6255302563276272,True,True,False,True,cuda,cuda,137.1687366962433,lr_high
robustness_lr_high,2,double_integrator,tanh_rnn,1000,0.08312938267858923,0.21506480117328464,171145.6100800228,171145.6100800228,0.4472735442835451,False,False,0,50,50,50.0,0.0,0.6271451531029513,True,True,False,True,cuda,cuda,138.08541703224182,lr_high
robustness_lr_high,3,double_integrator,tanh_rnn,1000,0.08312345971331979,0.18871951437322423,41.16185930013657,41.16185930013657,0.4286273907416934,False,False,0,38,38,38.0,0.0,0.6246031242325282,True,True,False,True,cuda,cuda,136.77374649047852,lr_high
