experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds
original_double_integrator_full,0,double_integrator,tanh_rnn,1000,0.09367609227977111,0.3083519608905681,141.9070227098465,141.9070227098465,0.5066639317967822,False,False,0,56,56,56,0,0.717580328934625,True,True,False,True,cuda,cuda,144.82856273651123
original_double_integrator_full,1,double_integrator,tanh_rnn,1000,0.09384502063354055,0.35894104145663236,476814.58604296687,476814.58604296687,0.5398049084242095,False,False,0,82,82,82,0,0.7070100554464966,True,True,False,True,cuda,cuda,142.25322484970093
original_double_integrator_full,2,double_integrator,tanh_rnn,1000,0.09332602727362069,0.322125861103272,171145.6100800228,171145.6100800228,0.523012070182954,False,False,0,74,74,74,0,0.705029588573927,True,True,False,True,cuda,cuda,141.69408249855042
original_double_integrator_full,3,double_integrator,tanh_rnn,1000,0.09350362253735088,0.273738805925548,41.16185930013657,41.16185930013657,0.49387472649079717,False,False,0,49,49,49,0,0.7098881603287353,True,True,False,True,cuda,cuda,141.21505784988403
original_double_integrator_full,4,double_integrator,tanh_rnn,1000,0.09292552401848551,0.3142171082366258,126.08653475046158,126.08653475046158,0.47241942370414364,False,False,0,47,47,47,0,0.7071134444342569,True,True,False,True,cuda,cuda,139.82049250602722
original_double_integrator_full,5,double_integrator,tanh_rnn,1000,0.09253204691246658,0.3209859567880631,165.89774455308915,165.89774455308915,0.5044755393840036,False,False,0,53,53,53,0,0.7030202502004351,True,True,False,True,cuda,cuda,140.6783094406128
original_double_integrator_full,6,double_integrator,tanh_rnn,1000,0.09324374893083379,0.28287760053586963,33.592188193798066,33.592188193798066,0.4985517844208729,False,False,0,51,51,51,0,0.7074924938498134,True,True,False,True,cuda,cuda,140.40613341331482
original_double_integrator_full,7,double_integrator,tanh_rnn,1000,0.09374780828457693,0.32202887872809216,434.19455688476563,434.19455688476563,0.5248405908882492,False,False,0,58,58,58,0,0.709914879324481,True,True,False,True,cuda,cuda,139.98136568069458
original_double_integrator_full,8,double_integrator,tanh_rnn,1000,0.09321929625717357,0.30446482774685135,26.457200717926025,26.457200717926025,0.48470404970136965,False,False,0,47,47,47,0,0.7135583890373524,True,True,False,True,cuda,cuda,140.8133888244629
original_double_integrator_full,9,double_integrator,tanh_rnn,1000,0.09287544874006057,0.3071447572251782,12.149343402385712,12.149343402385712,0.4899545877158827,False,False,0,47,47,47,0,0.7064771850154367,True,True,False,True,cuda,cuda,140.58311414718628
original_double_integrator_full,10,double_integrator,tanh_rnn,1000,0.09291549279138987,0.3043659356498392,357.2121771097183,357.2121771097183,0.49359283954702665,False,False,0,54,54,54,0,0.7052314676932339,True,True,False,True,cuda,cuda,140.38809418678284
original_double_integrator_full,11,double_integrator,tanh_rnn,1000,0.09308784774273433,0.3091946052199637,19.777274849414827,26.717946836948396,0.5046646331677329,False,False,0,58,58,58,0,0.7061386624222196,True,True,False,True,cuda,cuda,139.49475979804993
original_double_integrator_full,12,double_integrator,tanh_rnn,1000,0.09376305814122167,0.3330382737934997,177022.9209902668,177022.9209902668,0.5073469863435709,False,False,0,59,59,59,0,0.7100797057703827,True,True,False,True,cuda,cuda,140.6144790649414
original_double_integrator_full,13,double_integrator,tanh_rnn,1000,0.093166170986571,0.3263582716789097,9545.464770712853,9545.464770712853,0.5002537319265628,False,False,0,59,59,59,0,0.7060294920161335,True,True,False,True,cuda,cuda,140.31459259986877
original_double_integrator_full,14,double_integrator,tanh_rnn,1000,0.09350214609270964,0.283556621878717,25.892375702857972,25.892375702857972,0.5033318332625454,False,False,0,49,49,49,0,0.7119880405402508,True,True,False,True,cuda,cuda,140.2196409702301
original_double_integrator_full,15,double_integrator,tanh_rnn,1000,0.09366539905459009,0.2924799558868966,12.40778175354004,12.708986685276031,0.5098462434154813,False,False,0,53,53,53,0,0.7126075034270419,True,True,False,True,cuda,cuda,139.9021873474121
original_double_integrator_full,16,double_integrator,tanh_rnn,1000,0.09258230225966216,0.34084830987267195,1031.6051306724548,1031.6051306724548,0.4887696905848565,False,False,0,54,54,54,0,0.7079892664971232,True,True,False,True,cuda,cuda,140.25068426132202
original_double_integrator_full,17,double_integrator,tanh_rnn,1000,0.09325281505508992,0.2808362948204649,34.02452508211136,34.02452508211136,0.49212900787082364,False,False,0,49,49,49,0,0.7041767780702681,True,True,False,True,cuda,cuda,139.1808364391327
original_double_integrator_full,18,double_integrator,tanh_rnn,1000,0.0934607647591434,0.2916957614483408,26.270612905025484,26.270612905025484,0.49702787330985315,False,False,0,50,50,50,0,0.7093951278726728,True,True,False,True,cuda,cuda,140.87260603904724
original_double_integrator_full,19,double_integrator,tanh_rnn,1000,0.0926966063385711,0.301421435973607,24.313441376686097,24.313441376686097,0.4953184701322021,False,False,0,51,51,51,0,0.7014438603806336,True,True,False,True,cuda,cuda,140.36223149299622
original_double_integrator_full,20,double_integrator,tanh_rnn,1000,0.09298715194304048,0.2727814568354006,34.52566453695297,34.52566453695297,0.48504344636305524,False,False,0,48,48,48,0,0.7022088477665013,True,True,False,True,cuda,cuda,139.7001187801361
original_double_integrator_full,21,double_integrator,tanh_rnn,1000,0.09245725107408412,0.31353018433321267,47442.62445147991,47442.62445147991,0.49773150534051813,False,False,0,62,62,62,0,0.701093843386635,True,True,False,True,cuda,cuda,139.9712152481079
original_double_integrator_full,22,double_integrator,tanh_rnn,1000,0.09316381083541066,0.28296430543612133,10.042000193595886,10.042000193595886,0.5017177423626744,False,False,0,49,49,49,0,0.7046673875958815,True,True,False,True,cuda,cuda,137.57662057876587
original_double_integrator_full,23,double_integrator,tanh_rnn,1000,0.09366240560066476,0.3105201545296808,26591.369038572313,26591.369038572313,0.5119281074199135,False,False,0,58,58,58,0,0.7101296193059352,True,True,False,True,cuda,cuda,137.99678945541382
original_double_integrator_full,24,double_integrator,tanh_rnn,1000,0.09256621038004949,0.34906730292364957,12.795299372673036,12.795299372673036,0.49209209194877895,False,False,0,51,51,51,0,0.7084347932492521,True,True,False,True,cuda,cuda,139.0749695301056
original_double_integrator_full,25,double_integrator,tanh_rnn,1000,0.09334369391991088,0.2890858748629565,16.84220885038376,18.71407422542572,0.5118805610958921,False,False,0,56,56,56,0,0.7109772078828863,True,True,False,True,cuda,cuda,138.89577078819275
original_double_integrator_full,26,double_integrator,tanh_rnn,1000,0.09334917000914648,0.32214245231260064,86349.14801049948,86349.14801049948,0.5089148540089921,False,False,0,61,61,61,0,0.7027797197806789,True,True,False,True,cuda,cuda,138.41291165351868
original_double_integrator_full,27,double_integrator,tanh_rnn,1000,0.09370428370014272,0.2853064209948872,44.8152377653122,44.8152377653122,0.5065684244492629,False,False,0,54,54,54,0,0.7037577442344897,True,True,False,True,cuda,cuda,138.18856978416443
original_double_integrator_full,28,double_integrator,tanh_rnn,1000,0.09288202514512425,0.3156766198007972,32.88915580272675,32.88915580272675,0.49932290830652576,False,False,0,56,56,56,0,0.7066918929281432,True,True,False,True,cuda,cuda,138.4480686187744
original_double_integrator_full,29,double_integrator,tanh_rnn,1000,0.09321639501638629,0.26949323295932115,303.59836642026903,303.59836642026903,0.48202030865974127,False,False,0,50,50,50,0,0.7043172736175631,True,True,False,True,cuda,cuda,138.6454954147339
original_double_integrator_full,30,double_integrator,tanh_rnn,1000,0.09300474541983286,0.33922238018654755,145410.69121056795,145410.69121056795,0.512790768410169,False,False,0,64,64,64,0,0.7021126236831818,True,True,False,True,cuda,cuda,139.61559796333313
