valid,boundary1,boundary2,one_segment_sse,two_segment_sse,three_segment_sse,best_two_segment_boundary,three_vs_one_sse_reduction,three_vs_two_sse_reduction,stage1_slope,stage2_slope,stage3_slope,stage1_fast,stage2_slow,stage3_reaccelerates,claim_C2_changepoint_three_stage,experiment,seed,kind,setting
True,40,130,619.0475245210355,96.50089910469174,91.49538181611618,40,0.8521997452668804,0.05187016219553751,-0.2702214006349336,-0.007924704160284813,-0.00048264862261888653,True,True,False,False,original_double_integrator_full,12,original,original
True,40,174,294.0649664840721,31.86212347783652,27.809576701339275,42,0.9054305004984483,0.12719010329980737,-0.16282240885756638,-0.0044547573268698005,-0.0004265689890329037,True,True,False,False,original_double_integrator_full,13,original,original
True,40,278,112.88682830601397,5.259277312088479,2.503331027756147,42,0.9778244187978237,0.5240161567441545,-0.10555475910703123,-0.002046405344027971,-0.00034867981641498993,True,True,False,False,original_double_integrator_full,14,original,original
True,42,268,121.94529161884702,3.484087697551203,1.1030543643956783,46,0.9909545145224353,0.6834022389359022,-0.09681153898793807,-0.0020953228408273185,-0.00034766486905385126,True,True,False,False,original_double_integrator_full,15,original,original
True,40,218,221.3942960970321,16.328230618562923,13.39486020444571,42,0.9394977176892803,0.17965023171478114,-0.14442717513285228,-0.0027921404662672347,-0.0003682485848835722,True,True,False,False,original_double_integrator_full,16,original,original
True,40,282,107.44013636915975,5.995746086399649,3.502090063796871,40,0.9674042663929256,0.41590420719436755,-0.1048817377377161,-0.0019312972264745884,-0.0003431536232773237,True,True,False,False,original_double_integrator_full,17,original,original
True,40,274,111.68293357324319,5.122725378650848,2.55758883881375,42,0.9770995553484771,0.500736688038637,-0.10428482358691947,-0.002014132047907151,-0.0003400124943434349,True,True,False,False,original_double_integrator_full,18,original,original
True,40,264,125.29552449301332,4.189678090649778,1.6649818638162586,42,0.9867115615617292,0.6025990952545864,-0.10826525445109202,-0.0021061055715315153,-0.0003439735202733384,True,True,False,False,original_double_integrator_full,19,original,original
True,40,282,107.63426925350473,5.988623879068101,3.704655894742146,40,0.9655810744994535,0.381384443312437,-0.10628092668392884,-0.0018537231290728115,-0.00033205530099524505,True,True,False,False,original_double_integrator_full,20,original,original
True,40,82,442.6966262905594,56.89513096155788,51.56408354534247,40,0.8835227546742159,0.09369953678140615,-0.20607992712551182,-0.02274315152117128,-0.0005138174614093364,True,True,False,False,original_double_integrator_full,21,original,original
