experiment,kind,setting,seed,epochs,final_closed_test_loss,final_open_test_loss,deployed_loss_gap,deployed_loss_gap_relative_to_closed,finite_final_losses,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_recovered,stage1_end,plateau_end,plateau_length,plateau_detected,plateau_exit_detected,plateau_exit_reason,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,claim_C1_loss_divergence,claim_C1_gain_divergence,claim_C2_plateau_present,claim_C2_three_stage,claim_C3_stability_transition,claim_C4_proxy
generalization_gru,generalization,gru,0,1000,0.0676657165959022,1.348856529055629,1.2811908124597267,18.934120214982173,True,105942.66316554784,382.3383363127708,0.5662191747087953,True,True,71,700,629,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,1,1000,0.0677635523473782,3.362325031752698,3.2945614794053197,48.6184883359762,True,24506.77702306509,1410.5962824583053,0.7619753242093991,True,True,74,700,626,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,2,1000,0.0674377535918029,2.6956442626891657,2.628206509097363,38.972331804018204,True,35351.93321065664,2932.897398147583,0.7068208796702556,True,True,70,700,630,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,3,1000,0.0677720533678075,2.71336125808768,2.6455892047198724,39.03658031964776,True,271789.4127826977,265298.07836072444,0.6990730686989486,False,True,74,700,626,True,False,fallback,,,,True,True,True,False,False,False
generalization_gru,generalization,gru,4,1000,0.0672458931605797,3.488201401932165,3.4209555087715855,50.87233358032023,True,10474.894272618294,1035.6259089016914,0.7371344744472087,True,True,70,700,630,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,5,1000,0.0675765229175158,537.6058308267011,537.5382543037836,7954.511879220319,True,56418.3742183876,661.8265096521377,1.3702290985773775,True,True,74,700,626,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,6,1000,0.0676503263445192,3.06800909111742,3.0003587647729004,44.35098730334476,True,90405.49874864578,7653.45774661541,0.8423844542220139,True,True,84,700,616,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,7,1000,0.0673482334881441,2.91172009398928,2.844371860501136,42.23380054952526,True,137068.11569118977,9419.924630453586,0.8010582832240846,True,True,75,700,625,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,8,1000,0.067892433286911,0.1021570139098912,0.0342645806229802,0.5046892409670943,True,146326.01722025394,324.67585797309874,0.2379795276239856,True,True,67,700,633,True,False,fallback,,,,True,True,True,False,False,True
generalization_gru,generalization,gru,9,1000,0.0675142628460889,2.3842470630910246,2.3167328002449357,34.31471666255694,True,112355.84512793065,14822.804003956318,0.6813522980569074,True,True,78,700,622,True,False,fallback,,,,True,True,True,False,False,True
generalization_low_rank,generalization,low_rank,0,1000,0.0903307998872257,59.821531093120576,59.73120029323335,661.2495446492813,True,129.9540616369247,21.41951300144196,0.7096655377479085,True,True,96,700,604,True,False,fallback,96.0,604.0,0.6298384566105402,True,True,True,False,True,True
generalization_low_rank,generalization,low_rank,1,1000,0.0918794421604185,3.5324828851223,3.4406034429618813,37.44693439643114,True,946993834215601.2,946993834215601.2,0.622770219105618,False,True,75,700,625,True,False,fallback,75.0,625.0,0.6586884234161602,True,True,True,False,True,False
generalization_low_rank,generalization,low_rank,2,1000,0.0895389275263225,11.681174185276031,11.59163525774971,129.45917019546633,True,1034369275851.678,1034369275851.678,0.676269641457381,False,True,86,700,614,True,False,fallback,86.0,614.0,0.684823833548506,True,True,True,False,True,False
generalization_low_rank,generalization,low_rank,3,1000,0.0920697709651813,440.3985628080368,440.3064930370716,4782.313330654266,True,440.5801221323013,51.692529106140135,0.7123989028567217,False,True,11,100,89,True,True,slope,107.0,-7.0,0.6799694347180029,True,True,True,True,True,False
generalization_low_rank,generalization,low_rank,4,1000,0.0913164168927364,411.7404221749306,411.6491057580379,4507.941942592601,True,3627.6993719792367,3627.6993719792367,0.7248386454070738,False,True,18,59,41,True,True,slope,79.0,-20.0,0.6203756503358647,True,True,True,True,True,False
generalization_low_rank,generalization,low_rank,5,1000,0.0913715436737744,225.07197976350784,224.98060821983407,2462.2612158451293,True,432841.0067846823,432841.0067846823,0.7223818340864006,False,True,119,700,581,True,False,fallback,119.0,581.0,0.6424871204656978,True,True,True,False,True,False
generalization_low_rank,generalization,low_rank,6,1000,0.0916089860197432,366.0344457864761,365.94283680045635,3994.6172608175125,True,651.1792974948883,157.81876562356948,0.72172362282976,False,True,71,700,629,True,False,fallback,71.0,629.0,0.6618917124828716,True,True,True,False,True,False
generalization_low_rank,generalization,low_rank,7,1000,0.0924334017333445,335.48527633428574,335.3928429325524,3628.4810105778306,True,1620317.861975131,1620317.861975131,0.7178363784643813,False,True,102,700,598,True,False,fallback,102.0,598.0,0.6474399145734538,True,True,True,False,True,False
generalization_low_rank,generalization,low_rank,8,1000,0.0938681060786402,385.18093116045,385.08706305437136,4102.427109073189,True,396.8041326737404,48.90025742053986,0.6977300011761475,False,True,15,46,31,True,True,slope,74.0,-28.0,0.7064860137887476,True,True,True,True,True,False
generalization_low_rank,generalization,low_rank,9,1000,0.0912615501296766,44.44144240140915,44.35018085127947,485.96786695230145,True,107.95361303091047,13.735856449604034,0.6889817575819709,True,True,86,700,614,True,False,fallback,86.0,614.0,0.6344866362502187,True,True,True,False,True,True
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,0,1000,2.8198767173290253,2.932805273532868,0.11292855620384268,0.040047338066186135,True,3.754902696609497,38.96616049289703,0.01281602349607336,False,False,10,28,18,True,True,slope,,,,False,False,True,True,False,False
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,1,1000,0.2444936582048831,0.2451795683006639,0.000685910095780784,0.0028054310316957118,True,25.07785972595215,2.9917549657821656,0.024618650850846045,True,True,6,34,28,True,True,slope,,,,False,False,True,True,False,True
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,2,1000,0.283604242228248,0.3052048040181398,0.021600561789891837,0.07616445233744937,True,24.95040687561035,6.358091313838958,0.21709556907456345,True,True,1,34,33,True,True,slope,,,,True,True,True,True,False,True
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,3,1000,0.2845983694921596,0.2895353906834498,0.004937021191290192,0.017347327745060048,True,21.797337198257445,6.366509854197502,0.055100515170079564,True,True,7,41,34,True,True,slope,,,,False,True,True,True,False,True
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,4,1000,0.3852119844651315,0.5086183970049024,0.12340641253977092,0.32035974350881435,True,46.057573676109314,3.45792213857174,0.15485513643065718,True,True,1,21,20,True,True,slope,,,,True,True,True,True,False,True
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,5,1000,0.3528816847410053,1.742383840084076,1.3895021553430709,3.937586492659388,True,28.965402994155884,3.159841842651367,1.494981669260258,True,True,13,32,19,True,True,slope,,,,True,True,True,True,False,True
