metric,n,mean,sd,iqr_low,iqr_high
final_closed_test_loss,50,0.09330635309931018,0.0005423349247515977,0.09294093099962422,0.09367341897347582
final_open_test_loss,50,0.31193904015060103,0.02685035271725409,0.29189181005797976,0.3254590249233977
deployed_loss_gap,50,0.21863268705129082,0.026764508290572524,0.1983798867249747,0.2320940339766669
trajectory_gain_distance,50,0.5045271920021788,0.01682151870206782,0.49423566240114847,0.5108896220876746
